/CAN/AccPedal,/CAN/ENG_Trq_ZWR,/CAN/ENG_Trq_m_ex,/CAN/EngineSpeed_CAN,/CAN/Trq_Indicated,/CAN/VehicleSpeed,/CAN/WheelSpeed_FL,/CAN/WheelSpeed_FR,/CAN/WheelSpeed_RL,/CAN/WheelSpeed_RR
0.0007115884302789852,0.007008345444187991,0.004930760481987456,0.00017992262132388026,0.005021722808950524,0.0008277078293841555,0.0011256723999124862,0.0006945652404029973,0.0008515371007460082,0.0009303841171479921
0.0006015351830823759,0.0012698772658058521,0.005963029621201654,0.00041880468835217566,0.006087100905759646,0.0008562641037799801,0.0011529331925149433,0.0007197164928270522,0.0008509486783452591,0.0008996704233282943
0.0006579083950144504,0.006473730707993702,0.008537657448362101,0.0004024996275825629,0.008639253646170686,0.0008264016050019141,0.0011462441180936783,0.0006831817675535395,0.0008316830043990642,0.0008926220945963681
0.0006296847182322707,0.0012398706982410523,0.0053401363324661055,0.00010678419821748275,0.00545926487182441,0.0008421190899878389,0.0011723869915133411,0.0007118779639166822,0.0008559477122228737,0.0009285203504301037
0.0006313295508718758,0.0032464475871297332,0.011825806805880579,0.00028874643872839334,0.011952209070813402,0.0008629657962461457,0.0011959179755732935,0.0007341096579105977,0.0008830125925849697,0.0009130038495276521
0.0006702021484266268,0.0037095995664740214,0.008701107088080834,0.00010124712982106931,0.008814308797275183,0.0008418463995061715,0.001175952410073594,0.0007061010677311685,0.0008675928056854632,0.0009200379097259459
0.0006277552402240844,0.003941438469551223,0.008914503588832418,0.0005007642959666062,0.009036864107457743,0.0008457460526853783,0.0011727815614932385,0.0007133976773270462,0.0008707106518954372,0.0009128884283086947
0.0006277660998886894,0.003833483954077732,0.008708257095013272,0.00032449038419774673,0.008819232279496408,0.0008353068213826781,0.0011675393089844166,0.0006984084022595427,0.000861532492831496,0.0009140040970589819
0.0006227055039652873,0.003805315692764648,0.008701102610892464,4.302739882858231e-05,0.008811113672780896,0.00083131092059896,0.0011648995566936327,0.0006979283528239649,0.0008621851968215882,0.0009156213187785645
0.0006255114888158858,0.007177671427741478,0.0054869714129998914,0.00024126107383975331,0.005598650406072908,0.0008315918272690515,0.0011654273454377306,0.0006984230837182304,0.0008623289614648477,0.0009110217362648526
0.00060187593293929,0.005298285343541986,0.011425637048905729,0.00037488164559602855,0.011539200011875445,0.0008567990316271645,0.0012073427317972063,0.0007230126146718086,0.0008851026379682325,0.0009233659166165975
